LineId,DateTime,Pid,Content,EventId,EventTemplate,ParameterList
40,2020-04-05T18:17:53.174Z,189,"Apr  5 2020 18:19:00 H2-06-TOR %%01CLI/5/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=188.18.3.82, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n",b39de4e5,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=<*>, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n","['', '5 2020 18', '19:00', '06', '5', '188.18.3.82']"
41,2020-04-05T18:17:53.174Z,189,"Apr  5 2020 18:19:00 H2-06-TOR %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",26d27c48,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '5 2020 18', '19:00', '06', '5', '188.18.3.82']"
42,2020-04-05T18:17:53.175Z,189,"Apr  5 2020 18:19:00 H2-06-TOR %%01SSH/5/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n",3ec08c26,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n","['', '5 2020 18', '19:00', '06', '5', '188.18.3.82']"
43,2020-04-05T18:17:53.175Z,189,"Apr  5 2020 18:19:00 H2-06-TOR %%01CLI/5/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=188.18.3.82, VpnName=MGMT)\r\n",7b96b823,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=<*>, VpnName=MGMT)\r\n","['', '5 2020 18', '19:00', '06', '5', '188.18.3.82']"
44,2020-04-05T18:17:53.522Z,189,"Apr  5 2020 18:19:01 H2-06-TOR %%01SSH/5/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",19c4a48c,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '5 2020 18', '19:01', '06', '5', '188.18.3.82']"
45,2020-04-05T18:17:53.727Z,189,"Apr  5 2020 18:19:01 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display esn\"".)\r\n",c7bb6e4e,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display <*>","['', '5 2020 18', '19:01', '06', '5', '188.18.3.82', 'esn\\"".)\\r\\n']"
46,2020-04-05T18:17:53.728Z,189,"Apr  5 2020 18:19:01 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '5 2020 18', '19:01', '06', '5', '188.18.3.82', 'Command=\\""quit\\"".)\\r\\n']"
47,2020-04-05T18:17:53.743Z,189,"Apr  5 2020 18:19:01 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the user inputted quit command)\r\n",1c5084f3,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the user inputted quit command)\r\n","['', '5 2020 18', '19:01', '06', '5', '188.18.3.82']"
48,2020-04-05T18:17:53.744Z,189,"Apr  5 2020 18:19:01 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the terminal was closed)\r\n",c80b00e6,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the terminal was closed)\r\n","['', '5 2020 18', '19:01', '06', '5', '188.18.3.82']"
49,2020-04-05T18:18:31.444Z,189,"Apr  5 2020 18:19:39 H2-06-TOR %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",26d27c48,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '5 2020 18', '19:39', '06', '5', '188.18.3.82']"
50,2020-04-05T18:18:31.444Z,189,"Apr  5 2020 18:19:39 H2-06-TOR %%01CLI/5/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=188.18.3.82, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n",b39de4e5,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=<*>, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n","['', '5 2020 18', '19:39', '06', '5', '188.18.3.82']"
51,2020-04-05T18:18:31.451Z,189,"Apr  5 2020 18:19:39 H2-06-TOR %%01SSH/5/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n",3ec08c26,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n","['', '5 2020 18', '19:39', '06', '5', '188.18.3.82']"
52,2020-04-05T18:18:31.726Z,189,"Apr  5 2020 18:19:39 H2-06-TOR %%01CLI/5/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=188.18.3.82, VpnName=MGMT)\r\n",7b96b823,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=<*>, VpnName=MGMT)\r\n","['', '5 2020 18', '19:39', '06', '5', '188.18.3.82']"
53,2020-04-05T18:18:31.729Z,189,"Apr  5 2020 18:19:39 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""system-view\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '5 2020 18', '19:39', '06', '5', '188.18.3.82', 'Command=\\""system-view\\"".)\\r\\n']"
54,2020-04-05T18:18:32.721Z,189,"Apr  5 2020 18:19:40 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display vlan\"".)\r\n",c7bb6e4e,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display <*>","['', '5 2020 18', '19:40', '06', '5', '188.18.3.82', 'vlan\\"".)\\r\\n']"
55,2020-04-05T18:18:36.717Z,189,"Apr  5 2020 18:19:44 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '5 2020 18', '19:44', '06', '5', '188.18.3.82', 'Command=\\""quit\\"".)\\r\\n']"
56,2020-04-05T18:18:36.724Z,189,"Apr  5 2020 18:19:44 H2-06-TOR %%01CLI/5/CMDRECORDFAILED(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"", Result=Command was interrupted.)\r\n",3381cf61,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORDFAILED(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"", Result=Command was interrupted.)\r\n","['', '5 2020 18', '19:44', '06', '5', '188.18.3.82']"
57,2020-04-05T18:18:36.726Z,189,"Apr  5 2020 18:19:44 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the terminal was closed)\r\n",c80b00e6,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the terminal was closed)\r\n","['', '5 2020 18', '19:44', '06', '5', '188.18.3.82']"
58,2020-04-05T18:18:37.457Z,189,"Apr  5 2020 18:19:44 H2-06-TOR %%01SSH/5/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",19c4a48c,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '5 2020 18', '19:44', '06', '5', '188.18.3.82']"
59,2020-04-06T18:17:51.334Z,189,"Apr  6 2020 18:18:59 H2-06-TOR %%01CLI/5/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=188.18.3.82, VpnName=MGMT)\r\n",7b96b823,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=<*>, VpnName=MGMT)\r\n","['', '6 2020 18', '18:59', '06', '5', '188.18.3.82']"
60,2020-04-06T18:17:51.613Z,189,"Apr  6 2020 18:18:59 H2-06-TOR %%01CLI/5/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=188.18.3.82, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n",b39de4e5,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=<*>, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n","['', '6 2020 18', '18:59', '06', '5', '188.18.3.82']"
61,2020-04-06T18:17:51.614Z,189,"Apr  6 2020 18:18:59 H2-06-TOR %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",26d27c48,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '6 2020 18', '18:59', '06', '5', '188.18.3.82']"
62,2020-04-06T18:17:51.616Z,189,"Apr  6 2020 18:18:59 H2-06-TOR %%01SSH/5/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n",3ec08c26,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n","['', '6 2020 18', '18:59', '06', '5', '188.18.3.82']"
63,2020-04-06T18:17:51.616Z,189,"Apr  6 2020 18:19:00 H2-06-TOR %%01SSH/5/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",19c4a48c,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '6 2020 18', '19:00', '06', '5', '188.18.3.82']"
64,2020-04-06T18:17:51.757Z,189,"Apr  6 2020 18:19:00 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display esn\"".)\r\n",c7bb6e4e,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display <*>","['', '6 2020 18', '19:00', '06', '5', '188.18.3.82', 'esn\\"".)\\r\\n']"
65,2020-04-06T18:17:51.758Z,189,"Apr  6 2020 18:19:00 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '6 2020 18', '19:00', '06', '5', '188.18.3.82', 'Command=\\""quit\\"".)\\r\\n']"
66,2020-04-06T18:17:51.776Z,189,"Apr  6 2020 18:19:00 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the terminal was closed)\r\n",c80b00e6,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the terminal was closed)\r\n","['', '6 2020 18', '19:00', '06', '5', '188.18.3.82']"
67,2020-04-06T18:17:51.776Z,189,"Apr  6 2020 18:19:00 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the user inputted quit command)\r\n",1c5084f3,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the user inputted quit command)\r\n","['', '6 2020 18', '19:00', '06', '5', '188.18.3.82']"
68,2020-04-06T18:18:22.635Z,189,"Apr  6 2020 18:19:31 H2-06-TOR %%01CLI/5/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=188.18.3.82, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n",b39de4e5,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/INTER_CMDRECORD(s):CID=0x80d22716;Recorded command information. (Task=vty0, Ip=<*>, VpnName=MGMT, User=snmpuser, Command=\""\"", PromptInfo=\""Warning: The initial password poses security risks.The password needs to be changed. Change now? [Y/N]:\"", UserInput=\""N\"".)\r\n","['', '6 2020 18', '19:31', '06', '5', '188.18.3.82']"
69,2020-04-06T18:18:22.638Z,189,"Apr  6 2020 18:19:31 H2-06-TOR %%01SSH/5/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n",3ec08c26,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n","['', '6 2020 18', '19:31', '06', '5', '188.18.3.82']"
70,2020-04-06T18:18:22.639Z,189,"Apr  6 2020 18:19:31 H2-06-TOR %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",26d27c48,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '6 2020 18', '19:31', '06', '5', '188.18.3.82']"
71,2020-04-06T18:18:22.792Z,189,"Apr  6 2020 18:19:31 H2-06-TOR %%01CLI/5/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=188.18.3.82, VpnName=MGMT)\r\n",7b96b823,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGIN(s):CID=0x80ca2716;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=Snmpuser, AuthenticationMethod=\""Local-user\"", Ip=<*>, VpnName=MGMT)\r\n","['', '6 2020 18', '19:31', '06', '5', '188.18.3.82']"
72,2020-04-06T18:18:23.794Z,189,"Apr  6 2020 18:19:31 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""system-view\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '6 2020 18', '19:31', '06', '5', '188.18.3.82', 'Command=\\""system-view\\"".)\\r\\n']"
73,2020-04-06T18:18:23.794Z,189,"Apr  6 2020 18:19:32 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display vlan\"".)\r\n",c7bb6e4e,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""display <*>","['', '6 2020 18', '19:32', '06', '5', '188.18.3.82', 'vlan\\"".)\\r\\n']"
74,2020-04-06T18:18:27.567Z,189,"Apr  6 2020 18:19:36 H2-06-TOR %%01SSH/5/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",19c4a48c,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGOUT(s):CID=0x80932722;The SSH user logged out. (ServiceType=stelnet, LogoutReason=Client requested disconnection, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '6 2020 18', '19:36', '06', '5', '188.18.3.82']"
75,2020-04-06T18:18:27.806Z,189,"Apr  6 2020 18:19:36 H2-06-TOR %%01CLI/5/CMDRECORDFAILED(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"", Result=Command was interrupted.)\r\n",3381cf61,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORDFAILED(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"", Result=Command was interrupted.)\r\n","['', '6 2020 18', '19:36', '06', '5', '188.18.3.82']"
76,2020-04-06T18:18:27.806Z,189,"Apr  6 2020 18:19:36 H2-06-TOR %%01CLI/5/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=188.18.3.82, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", Command=\""quit\"".)\r\n",0fe5910b,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/CMDRECORD(s):CID=0x80ca2716;Recorded command information. (Task=VTY0, Ip=<*>, VpnName=MGMT, User=Snmpuser, AuthenticationMethod=\""Local-user\"", <*>","['', '6 2020 18', '19:36', '06', '5', '188.18.3.82', 'Command=\\""quit\\"".)\\r\\n']"
77,2020-04-06T18:18:27.809Z,189,"Apr  6 2020 18:19:36 H2-06-TOR %%01CLI/5/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=188.18.3.82, VpnName=MGMT, Reason=the terminal was closed)\r\n",c80b00e6,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01CLI/<*>/LOGOUT(s):CID=0x80ca2716;The user succeeded in logging out of VTY0. (UserType=SSH, UserName=Snmpuser, Ip=<*>, VpnName=MGMT, Reason=the terminal was closed)\r\n","['', '6 2020 18', '19:36', '06', '5', '188.18.3.82']"
78,2020-04-07T18:17:49.890Z,189,"Apr  7 2020 18:18:58 H2-06-TOR %%01SSH/5/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n",3ec08c26,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_INSECURE_LOGIN(s):CID=0x80932722;SSH server login is insecure. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT, Reason=Negotiated key exchange algorithm is not safe.)\r\n","['', '7 2020 18', '18:58', '06', '5', '188.18.3.82']"
79,2020-04-07T18:17:49.890Z,189,"Apr  7 2020 18:18:58 H2-06-TOR %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=188.18.3.82, VPNInstanceName=MGMT.)\r\n",26d27c48,"Apr <*> <*> <*>:<*>:<*> H2-<*>-TOR %%01SSH/<*>/SSH_USER_LOGIN(s):CID=0x80932722;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=Snmpuser, IPAddress=<*>, VPNInstanceName=MGMT.)\r\n","['', '7 2020 18', '18:58', '06', '5', '188.18.3.82']"
